,CODE,DATE_COLLECTE,DATE_HEURE_DEBUT,DATE_HEURE_FIN,MISSION,IMMAT,LIBELLE_CIRCUIT,TEMPS_D_ACTIVITE,TEMPS_D_ARRET,TEMPS_DE_MOTEUR_OFF,TEMPS_DE_PAUSE,TEMPS_DE_MARCHE_ARRIERE,TEMPS_DE_SERVICE,KM_D_ACTIVITE,KM_DE_HLP,KM_DE_MARCHE_ARRIERE,KM_DE_SERVICE,SOURCE,CODE_CIRCUIT,SECTEUR_CIRCUIT,TOURNEE_CIRCUIT,JOURS_CIRCUIT,FLUX_CIRCUIT
9879,AUTO39572,2023-12-26,2023-12-26,2023-12-26,Collecte PAV,8qtjzvpvsd,circuit libre,188.0,10496.0,368.0,,188.0,19937,0.12,65.26,0.12,65.38,GAM,,circuit libre,,,
9880,AUTO39574,2023-12-26,2023-12-26,,Collecte PAV,37ix70x3dv,,185.0,7688.0,,,185.0,0,0.13,98.88,0.13,99.01,GAM,,,,,
9881,AUTO39573,2023-12-26,2023-12-26,2023-12-26,Collecte PAV,cewxgzybhe,PAV_1771_ECH PDC SEY GRE_LUN_OMR_170001,236.0,10502.0,,,236.0,26202,0.09,46.09,0.09,46.18,GAM,170001.0,PAV,1771,LUN,OMR
9882,AUTO39575,2023-12-26,2023-12-26,,Collecte,cpixtr8npf,,0.0,10069.0,8697.0,,,0,0.0,142.99,,142.99,GAM,,,,,
9883,AUTO39609,2023-12-26,2023-12-26,2023-12-26,Collecte PAV,ho0t7l1jay,,119.0,1845.0,5771.0,,119.0,8518,0.05,4.84,0.05,4.89,GAM,,,,,
9884,AUTO39580,2023-12-26,2023-12-26,,Collecte,72hgb55djb,,0.0,1576.0,,,,0,0.0,134.6,,134.6,GAM,,,,,
9885,AUTO39577,2023-12-26,2023-12-26,,Autre,HHrKcPoPW1,SUD_TSAV_MAINTENANCE,17965.0,240.0,1511.0,,163.0,0,28.29,91.04,0.12,119.33,GAM,,SUD,TSAV,,
9886,AUTO39579,2023-12-26,2023-12-26,2023-12-26,Collecte,912yxz768z,GS_T01_GUA VARC VIF_MAR_OMR_160010,4092.0,60.0,1354.0,,55.0,16510,8.65,104.18,0.07,112.83,GAM,160010.0,GS,T01,MAR,OMR
9887,AUTO39581,2023-12-26,2023-12-26,,Collecte,a4rn5sg8yd,SUD_T12_PONT CLAIX OUEST_MAR_OMR_120048,11684.0,3.0,,,83.0,0,12.67,74.1,0.03,86.77,GAM,120048.0,SUD,T12,MAR,OMR
9888,AUTO39582,2023-12-26,2023-12-26,,Collecte,tlgnhaw79b,SUD_T03_ECH COLL_MAR_OMR_120035,4696.0,267.0,,,96.0,0,5.04,72.92,0.01,77.96,GAM,120035.0,SUD,T03,MAR,OMR
9889,AUTO39583,2023-12-26,2023-12-26,,Collecte,j1h4gptjli,GS_T06_VIF 1_LUN_OMR_129016,7012.0,709.0,388.0,,129.0,0,19.88,96.99,0.08,116.87,GAM,129016.0,GS,T06,LUN,OMR
9890,AUTO39584,2023-12-26,2023-12-26,2023-12-26,Collecte,9tcc9i42vm,GS_T07_ST PAUL DE VARC_MAR_OMR_160002,359.0,784.0,207.0,,359.0,16697,0.19,94.89,0.19,95.08,GAM,160002.0,GS,T07,MAR,OMR
9891,AUTO39585,2023-12-26,2023-12-26,,Collecte,v8ciubqaen,SUD_T04_ECH COLL RD_MAR_OMR_120006,0.0,3420.0,,,,0,0.0,73.03,,73.03,GAM,120006.0,SUD,T04,MAR,OMR
9892,AUTO39586,2023-12-26,2023-12-26,,Collecte,ro9qinohi0,SUD_T01_ECH COLL_LUN_CS_120005,11092.0,60.0,,,131.0,0,10.09,52.41,0.05,62.5,GAM,120005.0,SUD,T01,LUN,CS
9893,AUTO39588,2023-12-26,2023-12-26,2023-12-26,Collecte,y2qwjva4su,GS_T08_VIZILLE_LUN_OMR_160005,7708.0,108.0,3010.0,,58.0,18058,13.73,78.26,0.04,91.99,GAM,160005.0,GS,T08,LUN,OMR
9894,AUTO39587,2023-12-26,2023-12-26,2023-12-26,Collecte,3vd60rp65f,SUD_T05_GRE CP ECH C_MAR_DALIM_120011,5695.0,251.0,,,,16037,11.06,74.69,,85.75,GAM,120011.0,SUD,T05,MAR,DALIM
9895,AUTO39589,2023-12-26,2023-12-26,2023-12-26,Collecte,7joy6o7022,SUD_T10_IDENTIF_MAR_OMR_120063,0.0,3410.0,,,,15013,0.0,34.87,,34.87,GAM,120063.0,SUD,T10,MAR,OMR
9896,AUTO39590,2023-12-26,2023-12-26,2023-12-26,Collecte,59av7mpv00,SUD_T08_IDENTIF_MAR_OMR_120059,9685.0,803.0,,,98.0,16521,10.01,33.16,0.07,43.17,GAM,120059.0,SUD,T08,MAR,OMR
9897,AUTO39591,2023-12-26,2023-12-26,,Collecte,nlz4jniqc3,GS_T08_VIZILLE_LUN_OMR_160005,6957.0,60.0,4664.0,,189.0,0,9.78,65.07,0.13,74.85,GAM,160005.0,GS,T08,LUN,OMR
9898,AUTO39594,2023-12-26,2023-12-26,,Collecte,oxe1pddfqt,,9859.0,1374.0,217.0,,108.0,0,13.05,42.94,0.05,55.99,GAM,,,,,
9899,AUTO39595,2023-12-26,2023-12-26,,Collecte,dcw2igdtrd,,155.0,2295.0,,,155.0,0,0.07,65.18,0.07,65.25,GAM,,,,,
9900,AUTO39592,2023-12-26,2023-12-26,2023-12-26,Collecte,1t8IcmYe1z,SUD_T09_IDENTIF_MAR_OMR_120061,13859.0,50.0,,,188.0,19191,10.18,28.79,0.18,38.97,GAM,120061.0,SUD,T09,MAR,OMR
9901,AUTO39593,2023-12-26,2023-12-26,2023-12-26,Collecte PAV,ho0t7l1jay,PAV_1771_ECH PDC SEY GRE_LUN_OMR_170001,95.0,7511.0,355.0,,95.0,13267,0.04,44.46,0.04,44.5,GAM,170001.0,PAV,1771,LUN,OMR
9902,AUTO39596,2023-12-26,2023-12-26,2023-12-26,Collecte,57igmhyovd,SUD_T MINI_PN GRE ECH CLX PCLX_ MAR_OMR_120067,31.0,1574.0,401.0,,31.0,8978,0.02,39.59,0.02,39.61,GAM,120067.0,SUD,T MINI, MAR,OMR
9903,AUTO39600,2023-12-26,2023-12-26,,Collecte PAV,Mbtg7C288o,,10.0,745.0,77.0,,10.0,0,0.0,25.98,0.0,25.98,GAM,,,,,
9904,AUTO39597,2023-12-26,2023-12-26,2023-12-26,Collecte PAV,q730AA01SD,circuit libre,0.0,433.0,,,,432,0.0,0.1,,0.1,GAM,,circuit libre,,,
9905,AUTO39599,2023-12-26,2023-12-26,2023-12-26,Collecte PAV,q730AA01SD,PAV_1771_ECH PDC SEY GRE_LUN_OMR_170001,0.0,3422.0,,,,6286,0.0,0.04,,0.04,GAM,170001.0,PAV,1771,LUN,OMR
9906,AUTO39601,2023-12-26,2023-12-26,,Transport,m6n5m046hj,,442.0,5100.0,7377.0,,442.0,0,0.17,59.01,0.17,59.18,GAM,,,,,
9907,AUTO38170,2023-11-29,2023-11-29,2023-11-29,Collecte,htl2qtq856,GS_T02_VARCES OUEST ZA_MER_OMR_128014,9499.0,1471.0,1700.0,,50.0,19444,15.89,71.87,0.02,87.76,GAM,128014.0,GS,T02,MER,OMR
9908,AUTO38184,2023-11-29,2023-11-29,2023-11-29,Nettoiement,ii2vc21row,,749.0,5670.0,,,749.0,17836,0.36,41.41,0.36,41.77,GAM,,,,,
